d2.5_l10,,d3_l10,,d3.5_l10,,d4_l10,
Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),Freq(Hz),SPL(dB)
106.201172,80.59,106.201172,80.504,106.201172,79.891,106.201172,79.798
106.567383,80.631,106.567383,80.546,106.567383,79.933,106.567383,79.841
106.933594,80.672,106.933594,80.587,106.933594,79.974,106.933594,79.884
107.299805,80.714,107.299805,80.628,107.299805,80.017,107.299805,79.926
107.666016,80.756,107.666016,80.67,107.666016,80.059,107.666016,79.969
108.032227,80.798,108.032227,80.711,108.032227,80.102,108.032227,80.011
108.398438,80.84,108.398438,80.753,108.398438,80.145,108.398438,80.052
108.764648,80.882,108.764648,80.794,108.764648,80.187,108.764648,80.093
109.130859,80.923,109.130859,80.836,109.130859,80.229,109.130859,80.133
109.49707,80.964,109.49707,80.878,109.49707,80.27,109.49707,80.173
109.863281,81.005,109.863281,80.92,109.863281,80.31,109.863281,80.213
110.229492,81.046,110.229492,80.961,110.229492,80.349,110.229492,80.254
110.595703,81.087,110.595703,81.001,110.595703,80.389,110.595703,80.295
110.961914,81.128,110.961914,81.04,110.961914,80.428,110.961914,80.335
111.328125,81.168,111.328125,81.079,111.328125,80.467,111.328125,80.376
111.694336,81.209,111.694336,81.118,111.694336,80.506,111.694336,80.416
112.060547,81.248,112.060547,81.158,112.060547,80.545,112.060547,80.456
112.426758,81.287,112.426758,81.197,112.426758,80.584,112.426758,80.495
112.792969,81.326,112.792969,81.236,112.792969,80.624,112.792969,80.535
113.15918,81.365,113.15918,81.275,113.15918,80.663,113.15918,80.574
113.525391,81.403,113.525391,81.313,113.525391,80.703,113.525391,80.613
113.891602,81.442,113.891602,81.35,113.891602,80.742,113.891602,80.652
114.257812,81.48,114.257812,81.387,114.257812,80.781,114.257812,80.69
114.624023,81.518,114.624023,81.423,114.624023,80.82,114.624023,80.729
114.990234,81.556,114.990234,81.459,114.990234,80.859,114.990234,80.766
115.356445,81.594,115.356445,81.495,115.356445,80.896,115.356445,80.804
115.722656,81.631,115.722656,81.532,115.722656,80.934,115.722656,80.842
116.088867,81.668,116.088867,81.568,116.088867,80.971,116.088867,80.879
116.455078,81.704,116.455078,81.605,116.455078,81.009,116.455078,80.917
116.821289,81.739,116.821289,81.642,116.821289,81.046,116.821289,80.955
117.1875,81.775,117.1875,81.679,117.1875,81.084,117.1875,80.992
117.553711,81.81,117.553711,81.715,117.553711,81.122,117.553711,81.029
117.919922,81.845,117.919922,81.751,117.919922,81.159,117.919922,81.066
118.286133,81.88,118.286133,81.787,118.286133,81.195,118.286133,81.102
118.652344,81.916,118.652344,81.822,118.652344,81.23,118.652344,81.137
119.018555,81.951,119.018555,81.857,119.018555,81.265,119.018555,81.173
119.384766,81.986,119.384766,81.893,119.384766,81.3,119.384766,81.209
119.750977,82.02,119.750977,81.928,119.750977,81.336,119.750977,81.244
120.117188,82.055,120.117188,81.963,120.117188,81.371,120.117188,81.28
120.483398,82.09,120.483398,81.999,120.483398,81.406,120.483398,81.316
120.849609,82.125,120.849609,82.034,120.849609,81.442,120.849609,81.351
121.21582,82.16,121.21582,82.069,121.21582,81.477,121.21582,81.386
121.582031,82.196,121.582031,82.104,121.582031,81.513,121.582031,81.421
121.948242,82.23,121.948242,82.139,121.948242,81.548,121.948242,81.456
122.314453,82.265,122.314453,82.173,122.314453,81.583,122.314453,81.491
122.680664,82.3,122.680664,82.207,122.680664,81.618,122.680664,81.526
123.046875,82.334,123.046875,82.241,123.046875,81.653,123.046875,81.561
123.413086,82.369,123.413086,82.276,123.413086,81.688,123.413086,81.595
123.779297,82.404,123.779297,82.31,123.779297,81.722,123.779297,81.63
