d3_l10,,d3_l15,,d3_l20,,,,,
Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),,,,
108.032227,80.711,108.032227,80.552,108.032227,80.819,,,,
108.398438,80.753,108.398438,80.593,108.398438,80.861,,,,
108.764648,80.794,108.764648,80.635,108.764648,80.902,,,,
109.130859,80.836,109.130859,80.676,109.130859,80.943,,,,
109.49707,80.878,109.49707,80.717,109.49707,80.983,,,,
109.863281,80.92,109.863281,80.757,109.863281,81.023,,,,
110.229492,80.961,110.229492,80.797,110.229492,81.063,,,,
110.595703,81.001,110.595703,80.837,110.595703,81.104,,,,
110.961914,81.04,110.961914,80.876,110.961914,81.144,,,,
111.328125,81.079,111.328125,80.916,111.328125,81.185,,,,
111.694336,81.118,111.694336,80.956,111.694336,81.224,,,,
112.060547,81.158,112.060547,80.996,112.060547,81.264,,,,
112.426758,81.197,112.426758,81.036,112.426758,81.302,,,,
112.792969,81.236,112.792969,81.077,112.792969,81.341,,,,
113.15918,81.275,113.15918,81.117,113.15918,81.379,,,,
113.525391,81.313,113.525391,81.157,113.525391,81.418,,,,
113.891602,81.35,113.891602,81.196,113.891602,81.457,,,,
114.257812,81.387,114.257812,81.234,114.257812,81.496,,,,
114.624023,81.423,114.624023,81.272,114.624023,81.535,,,,
114.990234,81.459,114.990234,81.31,114.990234,81.573,,,,
115.356445,81.495,115.356445,81.347,115.356445,81.611,,,,
115.722656,81.532,115.722656,81.385,115.722656,81.649,,,,
116.088867,81.568,116.088867,81.423,116.088867,81.686,,,,
116.455078,81.605,116.455078,81.461,116.455078,81.723,,,,
116.821289,81.642,116.821289,81.498,116.821289,81.76,,,,
117.1875,81.679,117.1875,81.536,117.1875,81.797,,,,
117.553711,81.715,117.553711,81.573,117.553711,81.834,,,,
117.919922,81.751,117.919922,81.61,117.919922,81.871,,,,
118.286133,81.787,118.286133,81.646,118.286133,81.908,,,,
118.652344,81.822,118.652344,81.682,118.652344,81.945,,,,
119.018555,81.857,119.018555,81.718,119.018555,81.982,,,,
119.384766,81.893,119.384766,81.754,119.384766,82.019,,,,
119.750977,81.928,119.750977,81.79,119.750977,82.055,,,,
120.117188,81.963,120.117188,81.827,120.117188,82.091,,,,
120.483398,81.999,120.483398,81.862,120.483398,82.126,,,,
120.849609,82.034,120.849609,81.898,120.849609,82.16,,,,
121.21582,82.069,121.21582,81.932,121.21582,82.194,,,,
121.582031,82.104,121.582031,81.967,121.582031,82.228,,,,
121.948242,82.139,121.948242,82.002,121.948242,82.262,,,,
122.314453,82.173,122.314453,82.036,122.314453,82.296,,,,
122.680664,82.207,122.680664,82.072,122.680664,82.33,,,,
123.046875,82.241,123.046875,82.107,123.046875,82.364,,,,
123.413086,82.276,123.413086,82.143,123.413086,82.398,,,,
123.779297,82.31,123.779297,82.179,123.779297,82.432,,,,
124.145508,82.345,124.145508,82.213,124.145508,82.465,,,,
124.511719,82.379,124.511719,82.248,124.511719,82.498,,,,
124.87793,82.413,124.87793,82.281,124.87793,82.531,,,,
125.244141,82.446,125.244141,82.315,125.244141,82.564,,,,
125.610352,82.479,125.610352,82.348,125.610352,82.597,,,,
125.976562,82.511,125.976562,82.381,125.976562,82.631,,,,
126.342773,82.544,126.342773,82.414,126.342773,82.664,,,,
126.708984,82.576,126.708984,82.447,126.708984,82.697,,,,
127.075195,82.608,127.075195,82.48,127.075195,82.73,,,,
127.441406,82.64,127.441406,82.513,127.441406,82.763,,,,
127.807617,82.672,127.807617,82.546,127.807617,82.796,,,,
128.173828,82.703,128.173828,82.578,128.173828,82.829,,,,
128.540039,82.734,128.540039,82.61,128.540039,82.862,,,,
128.90625,82.766,128.90625,82.642,128.90625,82.894,,,,
129.272461,82.797,129.272461,82.674,129.272461,82.926,,,,
129.638672,82.828,129.638672,82.706,129.638672,82.957,,,,
130.004883,82.859,130.004883,82.737,130.004883,82.989,,,,
130.371094,82.89,130.371094,82.768,130.371094,83.02,,,,
130.737305,82.92,130.737305,82.799,130.737305,83.051,,,,
131.103516,82.951,131.103516,82.83,131.103516,83.082,,,,
131.469727,82.982,131.469727,82.861,131.469727,83.114,,,,
131.835938,83.012,131.835938,82.892,131.835938,83.145,,,,
132.202148,83.043,132.202148,82.923,132.202148,83.176,,,,
132.568359,83.073,132.568359,82.953,132.568359,83.206,,,,
132.93457,83.103,132.93457,82.984,132.93457,83.237,,,,
133.300781,83.133,133.300781,83.014,133.300781,83.267,,,,
133.666992,83.162,133.666992,83.044,133.666992,83.297,,,,
134.033203,83.192,134.033203,83.074,134.033203,83.326,,,,
134.399414,83.221,134.399414,83.104,134.399414,83.356,,,,
134.765625,83.25,134.765625,83.134,134.765625,83.386,,,,
135.131836,83.28,135.131836,83.164,135.131836,83.415,,,,
135.498047,83.309,135.498047,83.193,135.498047,83.445,,,,
135.864258,83.338,135.864258,83.223,135.864258,83.474,,,,
136.230469,83.367,136.230469,83.252,136.230469,83.504,,,,
136.59668,83.396,136.59668,83.281,136.59668,83.533,,,,
136.962891,83.424,136.962891,83.311,136.962891,83.562,,,,
137.329102,83.452,137.329102,83.34,137.329102,83.591,,,,
137.695312,83.48,137.695312,83.369,137.695312,83.62,,,,
138.061523,83.507,138.061523,83.398,138.061523,83.648,,,,
138.427734,83.534,138.427734,83.427,138.427734,83.677,,,,
138.793945,83.562,138.793945,83.455,138.793945,83.705,,,,
139.160156,83.589,139.160156,83.484,139.160156,83.734,,,,
139.526367,83.616,139.526367,83.512,139.526367,83.762,,,,
139.892578,83.643,139.892578,83.54,139.892578,83.79,,,,
140.258789,83.67,140.258789,83.569,140.258789,83.819,,,,
140.625,83.697,140.625,83.597,140.625,83.847,,,,
140.991211,83.724,140.991211,83.625,140.991211,83.875,,,,
141.357422,83.75,141.357422,83.653,141.357422,83.903,,,,
141.723633,83.777,141.723633,83.681,141.723633,83.931,,,,
142.089844,83.804,142.089844,83.709,142.089844,83.959,,,,
142.456055,83.83,142.456055,83.737,142.456055,83.986,,,,
142.822266,83.857,142.822266,83.764,142.822266,84.014,,,,
143.188477,83.883,143.188477,83.791,143.188477,84.042,,,,
143.554688,83.909,143.554688,83.819,143.554688,84.07,,,,
143.920898,83.936,143.920898,83.846,143.920898,84.097,,,,
144.287109,83.962,144.287109,83.873,144.287109,84.124,,,,
144.65332,83.988,144.65332,83.899,144.65332,84.151,,,,
145.019531,84.013,145.019531,83.926,145.019531,84.178,,,,
145.385742,84.039,145.385742,83.953,145.385742,84.204,,,,
145.751953,84.065,145.751953,83.98,145.751953,84.23,,,,
146.118164,84.091,146.118164,84.007,146.118164,84.256,,,,
146.484375,84.116,146.484375,84.034,146.484375,84.281,,,,
146.850586,84.141,146.850586,84.06,146.850586,84.307,,,,
147.216797,84.166,147.216797,84.087,147.216797,84.332,,,,
147.583008,84.191,147.583008,84.113,147.583008,84.357,,,,
147.949219,84.215,147.949219,84.14,147.949219,84.381,,,,
148.31543,84.239,148.31543,84.166,148.31543,84.406,,,,
148.681641,84.264,148.681641,84.192,148.681641,84.432,,,,
149.047852,84.288,149.047852,84.218,149.047852,84.457,,,,
149.414062,84.313,149.414062,84.244,149.414062,84.482,,,,
149.780273,84.337,149.780273,84.269,149.780273,84.508,,,,
150.146484,84.362,150.146484,84.295,150.146484,84.533,,,,
150.512695,84.386,150.512695,84.32,150.512695,84.558,,,,
150.878906,84.41,150.878906,84.346,150.878906,84.583,,,,
151.245117,84.434,151.245117,84.371,151.245117,84.608,,,,
151.611328,84.458,151.611328,84.396,151.611328,84.632,,,,
151.977539,84.481,151.977539,84.42,151.977539,84.657,,,,
152.34375,84.505,152.34375,84.444,152.34375,84.682,,,,
152.709961,84.528,152.709961,84.469,152.709961,84.707,,,,
